post,post_topics
"Here is what I don’t get with this advice.  With the Roth he “could” lose money over the year.   There is no chance of that with the high interest savings.  

If the Roth lost 10%, he’d end up getting 450 a year.  If he leaves it in a high interest savings there is no chance of that outcome. ","The topics that the text comes under are:
1. Rebuilding credit
2. Multiple credit cards
3. Closing credit card accounts
4. Credit card interest rates
5. Credit card benefits
6. Credit utilization
7. Age of credit accounts
8. Roth IRA vs high interest savings"
"from a financial standpoint, buy an older honda or toyota with a solid service record. around 100K miles is good, you can reliably pull another 100K+ out of it.  


considering where you live, how does parking fit into your budget?","The topics covered in the text are:

1. Multiple credit cards: The person is discussing their experience with having multiple credit cards and how their credit has improved over time.

2. Closing accounts: The person is considering whether or not to close some of their credit card accounts and is seeking advice on how it could potentially impact their credit score.

3. Age of accounts: The person is unsure about how the age of their credit card accounts affects their credit score and wants to know if closing accounts would have a negative impact.

4. Financial standpoint: The person mentions buying an older Honda or Toyota with a solid service record as a financially wise decision.

5. Parking and budget: The person asks about how parking fits into their budget, which could indicate they are looking for advice or information on managing parking expenses."
"Correct.  The point is that he can’t take benefit of any gain other than the increase itself over the year.  It doesn’t increase his 10 years of payments.   

So it’s either 5350 + 5000 if the market makes 7% but also possibly 4500 + 4500 of the market drops 10%

Or it’s 5100 + 5000 guaranteed of it goes into the 2% savings account.  

After the year he can put the money in the Roth or any other market vehicle going forward.  It’s only the next year that matters. 

So it’s a delta of 250 IF the market goes up that comes with risk.  

","The text primarily falls under the topic of ""Multiple credit cards: should I close accounts?"" The individual is seeking advice on whether closing some or all of their lower-interest credit cards would negatively impact their credit score. The text also briefly mentions investment options and potential market risks."
"The provider can provide you a hardship waiver, but I doubt you would qualify.  
The provider is obligated under their contract to collect on the copay, or to make a reasonable effort to do so.  
There is no harm in asking or reviewing the itemized bill to push back.","The topics that the text comes under are:

1. Rebuilding credit
2. Multiple credit cards
3. Closing credit card accounts
4. Credit card limits
5. Interest rates and benefits of credit cards
6. Credit utilization
7. Impact of closing credit card accounts on credit score
8. Hardship waivers and qualifying for them
9. Obligations of credit card providers
10. Collecting copayments
11. Reviewing itemized bills and questioning charges."
"might i suggest that a key to this problem actually starts with your attitude   


signing off with ""y'all prolly dont want me here"" and expressing that we are victims of circumstance is a defeatist approach.   the key to winning at this, is to believe you can.   then its starting with a budget.   know where the money is coming from, and going to, and we can help you work from there.  
  

the mantra should be ""if its to be, its up to me"" or my personal fave ""weather you believe you can, or believe you cant, you are probably right""

&amp;#x200B;",The main topic of the text is about whether the person should close their multiple credit card accounts. The person is seeking advice on how closing these accounts will impact their credit score and whether it is a wise decision.
"kudos and best of luck with striking out on your own.  


time to start working on your budget.     


rent  
transportation  
food  
bills (electric, water, cable etc)  


also, i assume you are going to be without the credit card, but you may wish to investigate what your expenses were there and which of those are needs / wants.  


&amp;#x200B;","The topics that the text comes under are:
1. Multiple credit cards and whether to close accounts
2. Rebuilding bad credit
3. Different types of credit cards (high-interest, low-benefit cards vs. mid-low interest cards with benefits)
4. Managing credit utilization and the impact on credit score
5. The age of accounts and its effect on credit score
6. Budgeting and expense management (rent, transportation, food, bills)
7. Evaluating expenses and distinguishing between needs and wants."
"why do you believe she's autistic?  


these bad decisions arent your responsibility, nor are they your moms, enabling someone isnt helping them, its investing in the problem.  


if you want to take in the kids, that may be a great solution thats helping and in the right place  


if your sister is truly ill, then have her evaluated by a physician, help her apply for disability, and you still may want to take some level of custody of the kids, because at some point, relatively soon, they will outpace mom and will need real guidance. ","The topics that the text falls under are:

1. Multiple credit cards and whether the person should close some of their accounts.
2. Rebuilding credit and the journey of improving credit.
3. The impact of closing credit card accounts on credit score.
4. The age of accounts and its relevance to credit.
5. The decision-making process regarding credit cards and their benefits.
6. Enabling behavior and its consequences.
7. Taking in children and the considerations involved.
8. Seeking medical evaluation and applying for disability.
9. Providing guidance and support for children in need."
"?   You are forecasting an expected upside of 7% for the year?   Which is of course possible but there is risk there.   In this case his future benefit is measured based on how much he keeps.   He gets no benefit (other than the 7%) in the growth as they capped it at 500/year going forward.   So if he made the 7% he would get $350 for the year and the 500 x 10 for a total of $5350

If he lost 10% over the same period he would end up with $4500.  

If he put in the 2% vehicle he would have $5100 and no risk.  

So the delta is $250 and risk.  ","The topics that the text comes under are:

1. Multiple credit cards and whether to close accounts.
2. Building and rebuilding credit.
3. High-interest and low-interest credit cards.
4. Benefits of credit cards, such as airline points.
5. Managing credit utilization.
6. Understanding the impact of closing credit card accounts on credit scores.
7. Evaluating investment options and potential risks.
8. Comparing potential gains and losses in different scenarios."
"Reach out to the hospitals office of the patient advocate in concert with the appeal.    If their physician insisted you stay, they need to advocate on your behalf with the insurer to make sure this isn’t on your head.  

Congratulation on the new addition. ",The main topic of the text is about whether the person should close their multiple credit card accounts.
"Good.  Keep working. 
Save your capital.  
Gain skills.  I’ve found sales to be the most lucrative but any skill with some business acumen is a win. 
Learn to leverage your capital and skills as an owner of something.  
Your circumstances are a blessing.  It’s exactly your experience that gave me the motivation to work hard and save.  ","The topics that the text comes under are:
1. Multiple credit cards
2. Should I close accounts?
3. Rebuilding bad credit
4. Different types of credit cards (high-interest low benefit cards, mid-low interest cards with benefits)
5. Managing credit utilization
6. Impact of closing credit card accounts on credit score
7. Saving capital and gaining skills
8. Leveraging capital and skills as a business owner
9. Personal motivation and circumstances."
"Nobody here is qualified to define whose money the survivor benefit is.  We know that survivor benefits were paid to spouses and children but have no real visibility into how the money was treated post distribution.  Is it in trust? What are the terms of that trust?   

We don’t know how it was invested.  Could be in an annuity which is paying off x% which is where the 1500 comes from.   Could be in something else.   We don’t know, nor do we know who owns that vehicle.  

Finally the one thing we do know is that the money from your ex may not meet the threshold of dependent (which I believe is 51%) and therefore the one thing that seems clear is he could not claim the child.   Either the 1500 is yours or your mothers or some other legal definition and half that money exceeds 51% of the child care meaning your ex can not claim the child.  

You have a lot to research legally.  If it’s indeed your money, legally and being administered by your mother outside of some defined trust then you should be given control of it.   Though based on your decision making that concerns me.  

If it’s not and the money is sitting where it should legally, then enjoy the benefit of guaranteed income, hopefully leveraging that to do something fulfilling with your life.",The text primarily revolves around the topic of credit cards and whether the person should close their accounts. It also touches on the issue of survivor benefits and the legal aspects surrounding it.
